"Notes","Residence County","Residence County Code","Year","Year Code",Deaths,Population,Crude Rate
,"DeKalb County, MO","29063","2025 (provisional and partial)","2025",0,9899,Unreliable
,"Dent County, MO","29065","2018","2018",Suppressed,15441,Suppressed
,"Dent County, MO","29065","2019","2019",Suppressed,15573,Suppressed
,"Dent County, MO","29065","2020","2020",Suppressed,15481,Suppressed
,"Dent County, MO","29065","2021","2021",12,14432,Unreliable
,"Dent County, MO","29065","2022","2022",Suppressed,14467,Suppressed
,"Dent County, MO","29065","2023","2023",Suppressed,14647,Suppressed
,"Dent County, MO","29065","2024 (provisional)","2024",Suppressed,14647,Suppressed
,"Dent County, MO","29065","2025 (provisional and partial)","2025",Suppressed,14647,Suppressed
,"Douglas County, MO","29067","2018","2018",Suppressed,13373,Suppressed
,"Douglas County, MO","29067","2019","2019",Suppressed,13185,Suppressed
,"Douglas County, MO","29067","2020","2020",0,13344,Unreliable
,"Douglas County, MO","29067","2021","2021",Suppressed,11732,Suppressed
,"Douglas County, MO","29067","2022","2022",Suppressed,11975,Suppressed
,"Douglas County, MO","29067","2023","2023",Suppressed,12228,Suppressed
,"Douglas County, MO","29067","2024 (provisional)","2024",0,12228,Unreliable
,"Douglas County, MO","29067","2025 (provisional and partial)","2025",0,12228,Unreliable
,"Dunklin County, MO","29069","2018","2018",Suppressed,29423,Suppressed
,"Dunklin County, MO","29069","2019","2019",0,29131,Unreliable
,"Dunklin County, MO","29069","2020","2020",0,28878,Unreliable
,"Dunklin County, MO","29069","2021","2021",Suppressed,27717,Suppressed
,"Dunklin County, MO","29069","2022","2022",Suppressed,27406,Suppressed
,"Dunklin County, MO","29069","2023","2023",Suppressed,27032,Suppressed
,"Dunklin County, MO","29069","2024 (provisional)","2024",0,27032,Unreliable
,"Dunklin County, MO","29069","2025 (provisional and partial)","2025",0,27032,Unreliable
,"Franklin County, MO","29071","2018","2018",32,103670,30.9
,"Franklin County, MO","29071","2019","2019",33,103967,31.7
,"Franklin County, MO","29071","2020","2020",46,104469,44.0
,"Franklin County, MO","29071","2021","2021",36,105231,34.2
,"Franklin County, MO","29071","2022","2022",37,105879,34.9
,"Franklin County, MO","29071","2023","2023",23,106404,21.6
,"Franklin County, MO","29071","2024 (provisional)","2024",17,106404,Unreliable
,"Franklin County, MO","29071","2025 (provisional and partial)","2025",Suppressed,106404,Suppressed
,"Gasconade County, MO","29073","2018","2018",Suppressed,14705,Suppressed
,"Gasconade County, MO","29073","2019","2019",Suppressed,14706,Suppressed
,"Gasconade County, MO","29073","2020","2020",Suppressed,14566,Suppressed
,"Gasconade County, MO","29073","2021","2021",Suppressed,14791,Suppressed
,"Gasconade County, MO","29073","2022","2022",Suppressed,14768,Suppressed
,"Gasconade County, MO","29073","2023","2023",Suppressed,14705,Suppressed
,"Gasconade County, MO","29073","2024 (provisional)","2024",Suppressed,14705,Suppressed
,"Gasconade County, MO","29073","2025 (provisional and partial)","2025",0,14705,Unreliable
,"Gentry County, MO","29075","2018","2018",0,6628,Unreliable
,"Gentry County, MO","29075","2019","2019",Suppressed,6571,Suppressed
,"Gentry County, MO","29075","2020","2020",Suppressed,6484,Suppressed
,"Gentry County, MO","29075","2021","2021",Suppressed,6173,Suppressed
,"Gentry County, MO","29075","2022","2022",0,6253,Unreliable
,"Gentry County, MO","29075","2023","2023",0,6287,Unreliable
,"Gentry County, MO","29075","2024 (provisional)","2024",0,6287,Unreliable
,"Gentry County, MO","29075","2025 (provisional and partial)","2025",0,6287,Unreliable
,"Greene County, MO","29077","2018","2018",48,291923,16.4
,"Greene County, MO","29077","2019","2019",53,293086,18.1
,"Greene County, MO","29077","2020","2020",62,294997,21.0
,"Greene County, MO","29077","2021","2021",103,300865,34.2
,"Greene County, MO","29077","2022","2022",86,303293,28.4
,"Greene County, MO","29077","2023","2023",87,304611,28.6
,"Greene County, MO","29077","2024 (provisional)","2024",40,304611,13.1
,"Greene County, MO","29077","2025 (provisional and partial)","2025",Suppressed,304611,Suppressed
,"Grundy County, MO","29079","2018","2018",Suppressed,9914,Suppressed
,"Grundy County, MO","29079","2019","2019",0,9850,Unreliable
,"Grundy County, MO","29079","2020","2020",Suppressed,9595,Suppressed
,"Grundy County, MO","29079","2021","2021",Suppressed,9720,Suppressed
,"Grundy County, MO","29079","2022","2022",0,9838,Unreliable
,"Grundy County, MO","29079","2023","2023",Suppressed,9815,Suppressed
,"Grundy County, MO","29079","2024 (provisional)","2024",Suppressed,9815,Suppressed
,"Grundy County, MO","29079","2025 (provisional and partial)","2025",0,9815,Unreliable
,"Harrison County, MO","29081","2018","2018",0,8414,Unreliable
,"Harrison County, MO","29081","2019","2019",0,8352,Unreliable
,"Harrison County, MO","29081","2020","2020",0,8321,Unreliable
,"Harrison County, MO","29081","2021","2021",Suppressed,8164,Suppressed
,"Harrison County, MO","29081","2022","2022",0,8199,Unreliable
,"Harrison County, MO","29081","2023","2023",Suppressed,8220,Suppressed
,"Harrison County, MO","29081","2024 (provisional)","2024",0,8220,Unreliable
,"Harrison County, MO","29081","2025 (provisional and partial)","2025",0,8220,Unreliable
,"Henry County, MO","29083","2018","2018",Suppressed,21792,Suppressed
,"Henry County, MO","29083","2019","2019",Suppressed,21824,Suppressed
,"Henry County, MO","29083","2020","2020",Suppressed,22076,Suppressed
,"Henry County, MO","29083","2021","2021",Suppressed,22206,Suppressed
,"Henry County, MO","29083","2022","2022",Suppressed,22438,Suppressed
,"Henry County, MO","29083","2023","2023",Suppressed,22485,Suppressed
,"Henry County, MO","29083","2024 (provisional)","2024",Suppressed,22485,Suppressed
,"Henry County, MO","29083","2025 (provisional and partial)","2025",Suppressed,22485,Suppressed
,"Hickory County, MO","29085","2018","2018",Suppressed,9509,Suppressed
,"Hickory County, MO","29085","2019","2019",0,9544,Unreliable
,"Hickory County, MO","29085","2020","2020",0,9586,Unreliable
,"Hickory County, MO","29085","2021","2021",Suppressed,8607,Suppressed
,"Hickory County, MO","29085","2022","2022",Suppressed,8630,Suppressed
,"Hickory County, MO","29085","2023","2023",0,8718,Unreliable
