"Notes","Residence County","Residence County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Johnson County, MO","29101","2020","2020",Suppressed,54219,Suppressed
,"Johnson County, MO","29101","2021","2021",Suppressed,54150,Suppressed
,"Johnson County, MO","29101","2022","2022",Suppressed,54368,Suppressed
,"Johnson County, MO","29101","2023","2023",Suppressed,54962,Suppressed
,"Johnson County, MO","29101","2024 (provisional)","2024",Suppressed,54962,Suppressed
,"Johnson County, MO","29101","2025 (provisional and partial)","2025",Suppressed,54962,Suppressed
,"Knox County, MO","29103","2018","2018",0,3947,Unreliable
,"Knox County, MO","29103","2019","2019",Suppressed,3959,Suppressed
,"Knox County, MO","29103","2020","2020",0,3940,Unreliable
,"Knox County, MO","29103","2021","2021",Suppressed,3808,Suppressed
,"Knox County, MO","29103","2022","2022",0,3776,Unreliable
,"Knox County, MO","29103","2023","2023",0,3723,Unreliable
,"Knox County, MO","29103","2024 (provisional)","2024",0,3723,Unreliable
,"Knox County, MO","29103","2025 (provisional and partial)","2025",0,3723,Unreliable
,"Laclede County, MO","29105","2018","2018",Suppressed,35713,Suppressed
,"Laclede County, MO","29105","2019","2019",Suppressed,35723,Suppressed
,"Laclede County, MO","29105","2020","2020",Suppressed,35895,Suppressed
,"Laclede County, MO","29105","2021","2021",Suppressed,36133,Suppressed
,"Laclede County, MO","29105","2022","2022",Suppressed,36313,Suppressed
,"Laclede County, MO","29105","2023","2023",10,36680,Unreliable
,"Laclede County, MO","29105","2024 (provisional)","2024",Suppressed,36680,Suppressed
,"Laclede County, MO","29105","2025 (provisional and partial)","2025",0,36680,Unreliable
,"Lafayette County, MO","29107","2018","2018",Suppressed,32598,Suppressed
,"Lafayette County, MO","29107","2019","2019",Suppressed,32708,Suppressed
,"Lafayette County, MO","29107","2020","2020",Suppressed,33006,Suppressed
,"Lafayette County, MO","29107","2021","2021",Suppressed,32817,Suppressed
,"Lafayette County, MO","29107","2022","2022",Suppressed,32961,Suppressed
,"Lafayette County, MO","29107","2023","2023",Suppressed,33196,Suppressed
,"Lafayette County, MO","29107","2024 (provisional)","2024",Suppressed,33196,Suppressed
,"Lafayette County, MO","29107","2025 (provisional and partial)","2025",0,33196,Unreliable
,"Lawrence County, MO","29109","2018","2018",Suppressed,38359,Suppressed
,"Lawrence County, MO","29109","2019","2019",Suppressed,38355,Suppressed
,"Lawrence County, MO","29109","2020","2020",Suppressed,38175,Suppressed
,"Lawrence County, MO","29109","2021","2021",Suppressed,38321,Suppressed
,"Lawrence County, MO","29109","2022","2022",Suppressed,38683,Suppressed
,"Lawrence County, MO","29109","2023","2023",Suppressed,38872,Suppressed
,"Lawrence County, MO","29109","2024 (provisional)","2024",Suppressed,38872,Suppressed
,"Lawrence County, MO","29109","2025 (provisional and partial)","2025",0,38872,Unreliable
,"Lewis County, MO","29111","2018","2018",Suppressed,9855,Suppressed
,"Lewis County, MO","29111","2019","2019",0,9776,Unreliable
,"Lewis County, MO","29111","2020","2020",0,9810,Unreliable
,"Lewis County, MO","29111","2021","2021",Suppressed,10000,Suppressed
,"Lewis County, MO","29111","2022","2022",Suppressed,9891,Suppressed
,"Lewis County, MO","29111","2023","2023",0,9818,Unreliable
,"Lewis County, MO","29111","2024 (provisional)","2024",0,9818,Unreliable
,"Lewis County, MO","29111","2025 (provisional and partial)","2025",0,9818,Unreliable
,"Lincoln County, MO","29113","2018","2018",16,57686,Unreliable
,"Lincoln County, MO","29113","2019","2019",16,59013,Unreliable
,"Lincoln County, MO","29113","2020","2020",18,60119,Unreliable
,"Lincoln County, MO","29113","2021","2021",14,61586,Unreliable
,"Lincoln County, MO","29113","2022","2022",24,63155,38.0
,"Lincoln County, MO","29113","2023","2023",14,64699,Unreliable
,"Lincoln County, MO","29113","2024 (provisional)","2024",10,64699,Unreliable
,"Lincoln County, MO","29113","2025 (provisional and partial)","2025",Suppressed,64699,Suppressed
,"Linn County, MO","29115","2018","2018",0,12037,Unreliable
,"Linn County, MO","29115","2019","2019",0,11920,Unreliable
,"Linn County, MO","29115","2020","2020",Suppressed,11830,Suppressed
,"Linn County, MO","29115","2021","2021",Suppressed,11843,Suppressed
,"Linn County, MO","29115","2022","2022",Suppressed,11820,Suppressed
,"Linn County, MO","29115","2023","2023",Suppressed,11791,Suppressed
,"Linn County, MO","29115","2024 (provisional)","2024",0,11791,Unreliable
,"Linn County, MO","29115","2025 (provisional and partial)","2025",0,11791,Unreliable
,"Livingston County, MO","29117","2018","2018",Suppressed,15146,Suppressed
,"Livingston County, MO","29117","2019","2019",Suppressed,15227,Suppressed
,"Livingston County, MO","29117","2020","2020",Suppressed,14413,Suppressed
,"Livingston County, MO","29117","2021","2021",Suppressed,14755,Suppressed
,"Livingston County, MO","29117","2022","2022",Suppressed,14402,Suppressed
,"Livingston County, MO","29117","2023","2023",Suppressed,14557,Suppressed
,"Livingston County, MO","29117","2024 (provisional)","2024",Suppressed,14557,Suppressed
,"Livingston County, MO","29117","2025 (provisional and partial)","2025",0,14557,Unreliable
,"McDonald County, MO","29119","2018","2018",0,23078,Unreliable
,"McDonald County, MO","29119","2019","2019",Suppressed,22837,Suppressed
,"McDonald County, MO","29119","2020","2020",Suppressed,22900,Suppressed
,"McDonald County, MO","29119","2021","2021",0,23383,Unreliable
,"McDonald County, MO","29119","2022","2022",0,23588,Unreliable
,"McDonald County, MO","29119","2023","2023",0,23903,Unreliable
,"McDonald County, MO","29119","2024 (provisional)","2024",Suppressed,23903,Suppressed
,"McDonald County, MO","29119","2025 (provisional and partial)","2025",0,23903,Unreliable
,"Macon County, MO","29121","2018","2018",0,15153,Unreliable
,"Macon County, MO","29121","2019","2019",0,15117,Unreliable
,"Macon County, MO","29121","2020","2020",0,15095,Unreliable
,"Macon County, MO","29121","2021","2021",0,15183,Unreliable
,"Macon County, MO","29121","2022","2022",0,15049,Unreliable
,"Macon County, MO","29121","2023","2023",0,15161,Unreliable
,"Macon County, MO","29121","2024 (provisional)","2024",0,15161,Unreliable
,"Macon County, MO","29121","2025 (provisional and partial)","2025",0,15161,Unreliable
,"Madison County, MO","29123","2018","2018",Suppressed,12188,Suppressed
,"Madison County, MO","29123","2019","2019",Suppressed,12088,Suppressed
,"Madison County, MO","29123","2020","2020",Suppressed,12113,Suppressed
,"Madison County, MO","29123","2021","2021",Suppressed,12652,Suppressed
,"Madison County, MO","29123","2022","2022",Suppressed,12753,Suppressed
,"Madison County, MO","29123","2023","2023",Suppressed,12698,Suppressed
,"Madison County, MO","29123","2024 (provisional)","2024",Suppressed,12698,Suppressed
,"Madison County, MO","29123","2025 (provisional and partial)","2025",0,12698,Unreliable
,"Maries County, MO","29125","2018","2018",Suppressed,8769,Suppressed
,"Maries County, MO","29125","2019","2019",0,8697,Unreliable
,"Maries County, MO","29125","2020","2020",Suppressed,8795,Suppressed
,"Maries County, MO","29125","2021","2021",0,8406,Unreliable
,"Maries County, MO","29125","2022","2022",Suppressed,8431,Suppressed
,"Maries County, MO","29125","2023","2023",Suppressed,8430,Suppressed
,"Maries County, MO","29125","2024 (provisional)","2024",Suppressed,8430,Suppressed
,"Maries County, MO","29125","2025 (provisional and partial)","2025",0,8430,Unreliable
,"Marion County, MO","29127","2018","2018",Suppressed,28592,Suppressed
,"Marion County, MO","29127","2019","2019",Suppressed,28530,Suppressed
,"Marion County, MO","29127","2020","2020",Suppressed,28423,Suppressed
,"Marion County, MO","29127","2021","2021",Suppressed,28518,Suppressed
,"Marion County, MO","29127","2022","2022",Suppressed,28438,Suppressed
,"Marion County, MO","29127","2023","2023",Suppressed,28336,Suppressed
,"Marion County, MO","29127","2024 (provisional)","2024",Suppressed,28336,Suppressed
,"Marion County, MO","29127","2025 (provisional and partial)","2025",0,28336,Unreliable
,"Mercer County, MO","29129","2018","2018",0,3641,Unreliable
,"Mercer County, MO","29129","2019","2019",0,3617,Unreliable
,"Mercer County, MO","29129","2020","2020",0,3558,Unreliable
,"Mercer County, MO","29129","2021","2021",0,3488,Unreliable
,"Mercer County, MO","29129","2022","2022",0,3437,Unreliable
,"Mercer County, MO","29129","2023","2023",0,3469,Unreliable
,"Mercer County, MO","29129","2024 (provisional)","2024",0,3469,Unreliable
,"Mercer County, MO","29129","2025 (provisional and partial)","2025",0,3469,Unreliable
,"Miller County, MO","29131","2018","2018",Suppressed,25336,Suppressed
,"Miller County, MO","29131","2019","2019",Suppressed,25619,Suppressed
,"Miller County, MO","29131","2020","2020",Suppressed,25791,Suppressed
,"Miller County, MO","29131","2021","2021",Suppressed,24909,Suppressed
,"Miller County, MO","29131","2022","2022",Suppressed,25403,Suppressed
,"Miller County, MO","29131","2023","2023",Suppressed,25590,Suppressed
,"Miller County, MO","29131","2024 (provisional)","2024",Suppressed,25590,Suppressed
,"Miller County, MO","29131","2025 (provisional and partial)","2025",0,25590,Unreliable
,"Mississippi County, MO","29133","2018","2018",Suppressed,13336,Suppressed
,"Mississippi County, MO","29133","2019","2019",Suppressed,13180,Suppressed
,"Mississippi County, MO","29133","2020","2020",0,12691,Unreliable
,"Mississippi County, MO","29133","2021","2021",0,12538,Unreliable
,"Mississippi County, MO","29133","2022","2022",0,11688,Unreliable
,"Mississippi County, MO","29133","2023","2023",0,11822,Unreliable
,"Mississippi County, MO","29133","2024 (provisional)","2024",0,11822,Unreliable
,"Mississippi County, MO","29133","2025 (provisional and partial)","2025",0,11822,Unreliable
,"Moniteau County, MO","29135","2018","2018",Suppressed,16121,Suppressed
,"Moniteau County, MO","29135","2019","2019",0,16132,Unreliable
,"Moniteau County, MO","29135","2020","2020",Suppressed,15585,Suppressed
,"Moniteau County, MO","29135","2021","2021",0,15484,Unreliable
,"Moniteau County, MO","29135","2022","2022",0,15220,Unreliable
,"Moniteau County, MO","29135","2023","2023",Suppressed,15256,Suppressed
,"Moniteau County, MO","29135","2024 (provisional)","2024",0,15256,Unreliable
,"Moniteau County, MO","29135","2025 (provisional and partial)","2025",0,15256,Unreliable
,"Monroe County, MO","29137","2018","2018",0,8664,Unreliable
,"Monroe County, MO","29137","2019","2019",Suppressed,8644,Suppressed
,"Monroe County, MO","29137","2020","2020",Suppressed,8672,Suppressed
,"Monroe County, MO","29137","2021","2021",Suppressed,8712,Suppressed
,"Monroe County, MO","29137","2022","2022",Suppressed,8652,Suppressed
,"Monroe County, MO","29137","2023","2023",Suppressed,8698,Suppressed
,"Monroe County, MO","29137","2024 (provisional)","2024",0,8698,Unreliable
,"Monroe County, MO","29137","2025 (provisional and partial)","2025",0,8698,Unreliable
,"Montgomery County, MO","29139","2018","2018",0,11534,Unreliable
,"Montgomery County, MO","29139","2019","2019",Suppressed,11551,Suppressed
,"Montgomery County, MO","29139","2020","2020",Suppressed,11294,Suppressed
,"Montgomery County, MO","29139","2021","2021",0,11415,Unreliable
,"Montgomery County, MO","29139","2022","2022",Suppressed,11470,Suppressed
,"Montgomery County, MO","29139","2023","2023",0,11459,Unreliable
,"Montgomery County, MO","29139","2024 (provisional)","2024",Suppressed,11459,Suppressed
,"Montgomery County, MO","29139","2025 (provisional and partial)","2025",0,11459,Unreliable
,"Morgan County, MO","29141","2018","2018",Suppressed,20358,Suppressed
,"Morgan County, MO","29141","2019","2019",0,20627,Unreliable
,"Morgan County, MO","29141","2020","2020",Suppressed,20716,Suppressed
,"Morgan County, MO","29141","2021","2021",Suppressed,21379,Suppressed
,"Morgan County, MO","29141","2022","2022",Suppressed,21785,Suppressed
,"Morgan County, MO","29141","2023","2023",Suppressed,21970,Suppressed
,"Morgan County, MO","29141","2024 (provisional)","2024",Suppressed,21970,Suppressed
,"Morgan County, MO","29141","2025 (provisional and partial)","2025",0,21970,Unreliable
,"New Madrid County, MO","29143","2018","2018",Suppressed,17296,Suppressed
,"New Madrid County, MO","29143","2019","2019",0,17076,Unreliable
,"New Madrid County, MO","29143","2020","2020",Suppressed,16693,Suppressed
,"New Madrid County, MO","29143","2021","2021",0,16035,Unreliable
,"New Madrid County, MO","29143","2022","2022",Suppressed,15695,Suppressed
,"New Madrid County, MO","29143","2023","2023",Suppressed,15424,Suppressed
,"New Madrid County, MO","29143","2024 (provisional)","2024",Suppressed,15424,Suppressed
,"New Madrid County, MO","29143","2025 (provisional and partial)","2025",0,15424,Unreliable
,"Newton County, MO","29145","2018","2018",Suppressed,58266,Suppressed
,"Newton County, MO","29145","2019","2019",Suppressed,58236,Suppressed
,"Newton County, MO","29145","2020","2020",Suppressed,58451,Suppressed
,"Newton County, MO","29145","2021","2021",Suppressed,59386,Suppressed
,"Newton County, MO","29145","2022","2022",Suppressed,60011,Suppressed
,"Newton County, MO","29145","2023","2023",Suppressed,60677,Suppressed
,"Newton County, MO","29145","2024 (provisional)","2024",Suppressed,60677,Suppressed
,"Newton County, MO","29145","2025 (provisional and partial)","2025",0,60677,Unreliable
,"Nodaway County, MO","29147","2018","2018",0,22304,Unreliable
,"Nodaway County, MO","29147","2019","2019",0,22092,Unreliable
,"Nodaway County, MO","29147","2020","2020",0,21743,Unreliable
,"Nodaway County, MO","29147","2021","2021",Suppressed,21160,Suppressed
,"Nodaway County, MO","29147","2022","2022",0,20670,Unreliable
,"Nodaway County, MO","29147","2023","2023",Suppressed,20695,Suppressed
,"Nodaway County, MO","29147","2024 (provisional)","2024",Suppressed,20695,Suppressed
,"Nodaway County, MO","29147","2025 (provisional and partial)","2025",0,20695,Unreliable
,"Oregon County, MO","29149","2018","2018",0,10541,Unreliable
,"Oregon County, MO","29149","2019","2019",0,10529,Unreliable
,"Oregon County, MO","29149","2020","2020",0,10411,Unreliable
,"Oregon County, MO","29149","2021","2021",0,8631,Unreliable
,"Oregon County, MO","29149","2022","2022",Suppressed,8732,Suppressed
,"Oregon County, MO","29149","2023","2023",Suppressed,8720,Suppressed
,"Oregon County, MO","29149","2024 (provisional)","2024",0,8720,Unreliable
,"Oregon County, MO","29149","2025 (provisional and partial)","2025",0,8720,Unreliable
,"Osage County, MO","29151","2018","2018",0,13714,Unreliable
,"Osage County, MO","29151","2019","2019",0,13615,Unreliable
,"Osage County, MO","29151","2020","2020",Suppressed,13535,Suppressed
,"Osage County, MO","29151","2021","2021",0,13379,Unreliable
,"Osage County, MO","29151","2022","2022",Suppressed,13399,Suppressed
,"Osage County, MO","29151","2023","2023",Suppressed,13468,Suppressed
,"Osage County, MO","29151","2024 (provisional)","2024",0,13468,Unreliable
,"Osage County, MO","29151","2025 (provisional and partial)","2025",0,13468,Unreliable
,"Ozark County, MO","29153","2018","2018",Suppressed,9017,Suppressed
,"Ozark County, MO","29153","2019","2019",0,9174,Unreliable
,"Ozark County, MO","29153","2020","2020",Suppressed,9083,Suppressed
,"Ozark County, MO","29153","2021","2021",0,8782,Unreliable
,"Ozark County, MO","29153","2022","2022",Suppressed,8940,Suppressed
,"Ozark County, MO","29153","2023","2023",0,8970,Unreliable
,"Ozark County, MO","29153","2024 (provisional)","2024",Suppressed,8970,Suppressed
,"Ozark County, MO","29153","2025 (provisional and partial)","2025",0,8970,Unreliable
,"Pemiscot County, MO","29155","2018","2018",0,16272,Unreliable
,"Pemiscot County, MO","29155","2019","2019",Suppressed,15805,Suppressed
,"Pemiscot County, MO","29155","2020","2020",Suppressed,15600,Suppressed
,"Pemiscot County, MO","29155","2021","2021",Suppressed,15236,Suppressed
,"Pemiscot County, MO","29155","2022","2022",Suppressed,14841,Suppressed
,"Pemiscot County, MO","29155","2023","2023",Suppressed,14613,Suppressed
,"Pemiscot County, MO","29155","2024 (provisional)","2024",Suppressed,14613,Suppressed
,"Pemiscot County, MO","29155","2025 (provisional and partial)","2025",0,14613,Unreliable
,"Perry County, MO","29157","2018","2018",Suppressed,19150,Suppressed
,"Perry County, MO","29157","2019","2019",0,19136,Unreliable
,"Perry County, MO","29157","2020","2020",Suppressed,19194,Suppressed
,"Perry County, MO","29157","2021","2021",Suppressed,18922,Suppressed
,"Perry County, MO","29157","2022","2022",0,18858,Unreliable
,"Perry County, MO","29157","2023","2023",Suppressed,18950,Suppressed
,"Perry County, MO","29157","2024 (provisional)","2024",Suppressed,18950,Suppressed
,"Perry County, MO","29157","2025 (provisional and partial)","2025",0,18950,Unreliable
,"Pettis County, MO","29159","2018","2018",Suppressed,42542,Suppressed
,"Pettis County, MO","29159","2019","2019",Suppressed,42339,Suppressed
,"Pettis County, MO","29159","2020","2020",Suppressed,42490,Suppressed
,"Pettis County, MO","29159","2021","2021",Suppressed,43188,Suppressed
,"Pettis County, MO","29159","2022","2022",Suppressed,43353,Suppressed
,"Pettis County, MO","29159","2023","2023",Suppressed,43530,Suppressed
,"Pettis County, MO","29159","2024 (provisional)","2024",Suppressed,43530,Suppressed
,"Pettis County, MO","29159","2025 (provisional and partial)","2025",0,43530,Unreliable
,"Phelps County, MO","29161","2018","2018",Suppressed,44732,Suppressed
,"Phelps County, MO","29161","2019","2019",16,44573,Unreliable
,"Phelps County, MO","29161","2020","2020",19,44414,Unreliable
,"Phelps County, MO","29161","2021","2021",23,44937,51.2
,"Phelps County, MO","29161","2022","2022",18,45313,Unreliable
,"Phelps County, MO","29161","2023","2023",24,45284,53.0
,"Phelps County, MO","29161","2024 (provisional)","2024",Suppressed,45284,Suppressed
,"Phelps County, MO","29161","2025 (provisional and partial)","2025",Suppressed,45284,Suppressed
,"Pike County, MO","29163","2018","2018",Suppressed,18504,Suppressed
,"Pike County, MO","29163","2019","2019",Suppressed,18302,Suppressed
,"Pike County, MO","29163","2020","2020",Suppressed,17552,Suppressed
,"Pike County, MO","29163","2021","2021",Suppressed,17761,Suppressed
,"Pike County, MO","29163","2022","2022",Suppressed,17664,Suppressed
,"Pike County, MO","29163","2023","2023",Suppressed,17935,Suppressed
,"Pike County, MO","29163","2024 (provisional)","2024",Suppressed,17935,Suppressed
,"Pike County, MO","29163","2025 (provisional and partial)","2025",0,17935,Unreliable
,"Platte County, MO","29165","2018","2018",Suppressed,102985,Suppressed
,"Platte County, MO","29165","2019","2019",Suppressed,104418,Suppressed
,"Platte County, MO","29165","2020","2020",15,106532,Unreliable
,"Platte County, MO","29165","2021","2021",15,108569,Unreliable
,"Platte County, MO","29165","2022","2022",17,110534,Unreliable
,"Platte County, MO","29165","2023","2023",21,111940,18.8
,"Platte County, MO","29165","2024 (provisional)","2024",11,111940,Unreliable
,"Platte County, MO","29165","2025 (provisional and partial)","2025",0,111940,Unreliable
,"Polk County, MO","29167","2018","2018",0,32201,Unreliable
,"Polk County, MO","29167","2019","2019",0,32149,Unreliable
,"Polk County, MO","29167","2020","2020",Suppressed,32490,Suppressed
,"Polk County, MO","29167","2021","2021",Suppressed,32043,Suppressed
,"Polk County, MO","29167","2022","2022",Suppressed,32693,Suppressed
,"Polk County, MO","29167","2023","2023",Suppressed,32780,Suppressed
,"Polk County, MO","29167","2024 (provisional)","2024",Suppressed,32780,Suppressed
,"Polk County, MO","29167","2025 (provisional and partial)","2025",0,32780,Unreliable
,"Pulaski County, MO","29169","2018","2018",10,52014,Unreliable
,"Pulaski County, MO","29169","2019","2019",21,52607,39.9
,"Pulaski County, MO","29169","2020","2020",25,52709,47.4
,"Pulaski County, MO","29169","2021","2021",19,53816,Unreliable
,"Pulaski County, MO","29169","2022","2022",28,53941,51.9
,"Pulaski County, MO","29169","2023","2023",16,53812,Unreliable
,"Pulaski County, MO","29169","2024 (provisional)","2024",11,53812,Unreliable
,"Pulaski County, MO","29169","2025 (provisional and partial)","2025",Suppressed,53812,Suppressed
,"Putnam County, MO","29171","2018","2018",0,4757,Unreliable
,"Putnam County, MO","29171","2019","2019",Suppressed,4696,Suppressed
,"Putnam County, MO","29171","2020","2020",0,4688,Unreliable
,"Putnam County, MO","29171","2021","2021",0,4712,Unreliable
,"Putnam County, MO","29171","2022","2022",Suppressed,4666,Suppressed
,"Putnam County, MO","29171","2023","2023",0,4638,Unreliable
,"Putnam County, MO","29171","2024 (provisional)","2024",0,4638,Unreliable
,"Putnam County, MO","29171","2025 (provisional and partial)","2025",Suppressed,4638,Suppressed
,"Ralls County, MO","29173","2018","2018",Suppressed,10212,Suppressed
,"Ralls County, MO","29173","2019","2019",0,10309,Unreliable
,"Ralls County, MO","29173","2020","2020",Suppressed,10299,Suppressed
,"Ralls County, MO","29173","2021","2021",Suppressed,10361,Suppressed
,"Ralls County, MO","29173","2022","2022",0,10420,Unreliable
,"Ralls County, MO","29173","2023","2023",0,10489,Unreliable
,"Ralls County, MO","29173","2024 (provisional)","2024",Suppressed,10489,Suppressed
,"Ralls County, MO","29173","2025 (provisional and partial)","2025",0,10489,Unreliable
,"Randolph County, MO","29175","2018","2018",0,24763,Unreliable
,"Randolph County, MO","29175","2019","2019",Suppressed,24748,Suppressed
,"Randolph County, MO","29175","2020","2020",Suppressed,24409,Suppressed
,"Randolph County, MO","29175","2021","2021",Suppressed,24760,Suppressed
,"Randolph County, MO","29175","2022","2022",Suppressed,24622,Suppressed
,"Randolph County, MO","29175","2023","2023",Suppressed,24109,Suppressed
,"Randolph County, MO","29175","2024 (provisional)","2024",0,24109,Unreliable
,"Randolph County, MO","29175","2025 (provisional and partial)","2025",0,24109,Unreliable
,"Ray County, MO","29177","2018","2018",0,22883,Unreliable
,"Ray County, MO","29177","2019","2019",Suppressed,23018,Suppressed
,"Ray County, MO","29177","2020","2020",Suppressed,22915,Suppressed
,"Ray County, MO","29177","2021","2021",Suppressed,23008,Suppressed
,"Ray County, MO","29177","2022","2022",Suppressed,23107,Suppressed
,"Ray County, MO","29177","2023","2023",Suppressed,23182,Suppressed
,"Ray County, MO","29177","2024 (provisional)","2024",0,23182,Unreliable
,"Ray County, MO","29177","2025 (provisional and partial)","2025",0,23182,Unreliable
,"Reynolds County, MO","29179","2018","2018",0,6254,Unreliable
,"Reynolds County, MO","29179","2019","2019",0,6270,Unreliable
,"Reynolds County, MO","29179","2020","2020",0,6198,Unreliable
,"Reynolds County, MO","29179","2021","2021",0,6087,Unreliable
,"Reynolds County, MO","29179","2022","2022",0,6006,Unreliable
,"Reynolds County, MO","29179","2023","2023",0,5950,Unreliable
,"Reynolds County, MO","29179","2024 (provisional)","2024",Suppressed,5950,Suppressed
,"Reynolds County, MO","29179","2025 (provisional and partial)","2025",0,5950,Unreliable
,"Ripley County, MO","29181","2018","2018",0,13401,Unreliable
,"Ripley County, MO","29181","2019","2019",0,13288,Unreliable
,"Ripley County, MO","29181","2020","2020",0,13300,Unreliable
,"Ripley County, MO","29181","2021","2021",0,10617,Unreliable
,"Ripley County, MO","29181","2022","2022",0,10703,Unreliable
,"Ripley County, MO","29181","2023","2023",0,10806,Unreliable
,"Ripley County, MO","29181","2024 (provisional)","2024",0,10806,Unreliable
,"Ripley County, MO","29181","2025 (provisional and partial)","2025",0,10806,Unreliable
,"St. Charles County, MO","29183","2018","2018",105,399182,26.3
,"St. Charles County, MO","29183","2019","2019",89,402022,22.1
,"St. Charles County, MO","29183","2020","2020",98,406204,24.1
,"St. Charles County, MO","29183","2021","2021",106,409981,25.9
,"St. Charles County, MO","29183","2022","2022",81,413803,19.6
,"St. Charles County, MO","29183","2023","2023",95,416659,22.8
,"St. Charles County, MO","29183","2024 (provisional)","2024",40,416659,9.6
,"St. Charles County, MO","29183","2025 (provisional and partial)","2025",10,416659,Unreliable
,"St. Clair County, MO","29185","2018","2018",0,9395,Unreliable
,"St. Clair County, MO","29185","2019","2019",0,9397,Unreliable
,"St. Clair County, MO","29185","2020","2020",0,9689,Unreliable
,"St. Clair County, MO","29185","2021","2021",Suppressed,9376,Suppressed
,"St. Clair County, MO","29185","2022","2022",0,9576,Unreliable
,"St. Clair County, MO","29185","2023","2023",Suppressed,9752,Suppressed
,"St. Clair County, MO","29185","2024 (provisional)","2024",0,9752,Unreliable
,"St. Clair County, MO","29185","2025 (provisional and partial)","2025",0,9752,Unreliable
,"Ste. Genevieve County, MO","29186","2018","2018",Suppressed,17888,Suppressed
,"Ste. Genevieve County, MO","29186","2019","2019",Suppressed,17894,Suppressed
,"Ste. Genevieve County, MO","29186","2020","2020",Suppressed,17924,Suppressed
,"Ste. Genevieve County, MO","29186","2021","2021",Suppressed,18588,Suppressed
,"Ste. Genevieve County, MO","29186","2022","2022",10,18644,Unreliable
,"Ste. Genevieve County, MO","29186","2023","2023",Suppressed,18642,Suppressed
,"Ste. Genevieve County, MO","29186","2024 (provisional)","2024",Suppressed,18642,Suppressed
,"Ste. Genevieve County, MO","29186","2025 (provisional and partial)","2025",Suppressed,18642,Suppressed
,"St. Francois County, MO","29187","2018","2018",Suppressed,66692,Suppressed
,"St. Francois County, MO","29187","2019","2019",11,67215,Unreliable
,"St. Francois County, MO","29187","2020","2020",14,66485,Unreliable
,"St. Francois County, MO","29187","2021","2021",31,67541,45.9
,"St. Francois County, MO","29187","2022","2022",16,66969,Unreliable
,"St. Francois County, MO","29187","2023","2023",16,67058,Unreliable
,"St. Francois County, MO","29187","2024 (provisional)","2024",Suppressed,67058,Suppressed
,"St. Francois County, MO","29187","2025 (provisional and partial)","2025",Suppressed,67058,Suppressed
,"St. Louis County, MO","29189","2018","2018",319,996945,32.0
,"St. Louis County, MO","29189","2019","2019",292,994205,29.4
,"St. Louis County, MO","29189","2020","2020",360,994020,36.2
,"St. Louis County, MO","29189","2021","2021",363,997187,36.4
,"St. Louis County, MO","29189","2022","2022",333,990414,33.6
,"St. Louis County, MO","29189","2023","2023",271,987059,27.5
,"St. Louis County, MO","29189","2024 (provisional)","2024",167,987059,16.9
,"St. Louis County, MO","29189","2025 (provisional and partial)","2025",29,987059,2.9
,"Saline County, MO","29195","2018","2018",0,22895,Unreliable
,"Saline County, MO","29195","2019","2019",0,22761,Unreliable
,"Saline County, MO","29195","2020","2020",Suppressed,22858,Suppressed
,"Saline County, MO","29195","2021","2021",Suppressed,23289,Suppressed
,"Saline County, MO","29195","2022","2022",Suppressed,23007,Suppressed
,"Saline County, MO","29195","2023","2023",Suppressed,23049,Suppressed
,"Saline County, MO","29195","2024 (provisional)","2024",Suppressed,23049,Suppressed
,"Saline County, MO","29195","2025 (provisional and partial)","2025",0,23049,Unreliable
,"Schuyler County, MO","29197","2018","2018",0,4599,Unreliable
,"Schuyler County, MO","29197","2019","2019",0,4660,Unreliable
,"Schuyler County, MO","29197","2020","2020",0,4534,Unreliable
,"Schuyler County, MO","29197","2021","2021",0,4025,Unreliable
,"Schuyler County, MO","29197","2022","2022",0,4002,Unreliable
,"Schuyler County, MO","29197","2023","2023",0,4053,Unreliable
,"Schuyler County, MO","29197","2024 (provisional)","2024",Suppressed,4053,Suppressed
,"Schuyler County, MO","29197","2025 (provisional and partial)","2025",0,4053,Unreliable
,"Scotland County, MO","29199","2018","2018",0,4966,Unreliable
,"Scotland County, MO","29199","2019","2019",0,4902,Unreliable
,"Scotland County, MO","29199","2020","2020",0,4871,Unreliable
,"Scotland County, MO","29199","2021","2021",0,4693,Unreliable
,"Scotland County, MO","29199","2022","2022",0,4643,Unreliable
,"Scotland County, MO","29199","2023","2023",0,4676,Unreliable
,"Scotland County, MO","29199","2024 (provisional)","2024",0,4676,Unreliable
,"Scotland County, MO","29199","2025 (provisional and partial)","2025",0,4676,Unreliable
,"Scott County, MO","29201","2018","2018",Suppressed,38458,Suppressed
,"Scott County, MO","29201","2019","2019",Suppressed,38280,Suppressed
,"Scott County, MO","29201","2020","2020",Suppressed,38288,Suppressed
,"Scott County, MO","29201","2021","2021",Suppressed,37840,Suppressed
,"Scott County, MO","29201","2022","2022",Suppressed,37840,Suppressed
,"Scott County, MO","29201","2023","2023",Suppressed,37889,Suppressed
,"Scott County, MO","29201","2024 (provisional)","2024",Suppressed,37889,Suppressed
,"Scott County, MO","29201","2025 (provisional and partial)","2025",0,37889,Unreliable
,"Shannon County, MO","29203","2018","2018",0,8189,Unreliable
,"Shannon County, MO","29203","2019","2019",0,8166,Unreliable
