"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Indiana","18","2025 (provisional and partial)","2025",237,6862199,3.5,3.6
"Total","Indiana","18",,,11956,54404669,22.0,23.3
,"Iowa","19","2018","2018",151,3156145,4.8,5.1
,"Iowa","19","2019","2019",174,3155070,5.5,5.8
,"Iowa","19","2020","2020",235,3163561,7.4,8.1
,"Iowa","19","2021","2021",266,3193079,8.3,8.9
,"Iowa","19","2022","2022",241,3200517,7.5,8.0
,"Iowa","19","2023","2023",260,3207004,8.1,8.6
,"Iowa","19","2024 (provisional)","2024",178,3207004,5.6,6.1
,"Iowa","19","2025 (provisional and partial)","2025",45,3207004,1.4,1.5
"Total","Iowa","19",,,1550,25489384,6.1,6.5
,"Kansas","20","2018","2018",168,2911505,5.8,6.0
,"Kansas","20","2019","2019",199,2913314,6.8,7.2
,"Kansas","20","2020","2020",278,2913805,9.5,9.9
,"Kansas","20","2021","2021",446,2934582,15.2,16.1
,"Kansas","20","2022","2022",523,2937150,17.8,18.8
,"Kansas","20","2023","2023",431,2940546,14.7,15.2
,"Kansas","20","2024 (provisional)","2024",366,2940546,12.4,13.1
,"Kansas","20","2025 (provisional and partial)","2025",87,2940546,3.0,3.1
"Total","Kansas","20",,,2498,23431994,10.7,11.2
,"Kentucky","21","2018","2018",1012,4468402,22.6,23.9
,"Kentucky","21","2019","2019",1063,4467673,23.8,25.2
,"Kentucky","21","2020","2020",1744,4477251,39.0,41.5
,"Kentucky","21","2021","2021",1927,4509394,42.7,45.4
,"Kentucky","21","2022","2022",1796,4512310,39.8,42.5
,"Kentucky","21","2023","2023",1663,4526154,36.7,38.8
,"Kentucky","21","2024 (provisional)","2024",1062,4526154,23.5,24.6
,"Kentucky","21","2025 (provisional and partial)","2025",192,4526154,4.2,4.4
"Total","Kentucky","21",,,10459,36013492,29.0,30.8
,"Louisiana","22","2018","2018",465,4659978,10.0,10.4
,"Louisiana","22","2019","2019",581,4648794,12.5,13.0
,"Louisiana","22","2020","2020",975,4645318,21.0,22.2
,"Louisiana","22","2021","2021",1377,4624047,29.8,31.5
,"Louisiana","22","2022","2022",1403,4590241,30.6,32.4
,"Louisiana","22","2023","2023",1152,4573749,25.2,26.8
,"Louisiana","22","2024 (provisional)","2024",766,4573749,16.7,17.8
,"Louisiana","22","2025 (provisional and partial)","2025",150,4573749,3.3,3.5
"Total","Louisiana","22",,,6869,36889625,18.6,19.7
,"Maine","23","2018","2018",287,1338404,21.4,23.9
,"Maine","23","2019","2019",325,1344212,24.2,26.5
,"Maine","23","2020","2020",429,1350141,31.8,34.6
,"Maine","23","2021","2021",552,1372247,40.2,42.8
,"Maine","23","2022","2022",632,1385340,45.6,49.2
,"Maine","23","2023","2023",521,1395722,37.3,39.8
,"Maine","23","2024 (provisional)","2024",390,1395722,27.9,29.1
,"Maine","23","2025 (provisional and partial)","2025",71,1395722,5.1,5.3
"Total","Maine","23",,,3207,10977510,29.2,31.4
,"Maryland","24","2018","2018",2123,6042718,35.1,34.3
,"Maryland","24","2019","2019",2144,6045680,35.5,34.7
,"Maryland","24","2020","2020",2549,6055802,42.1,41.1
,"Maryland","24","2021","2021",2510,6165129,40.7,39.2
,"Maryland","24","2022","2022",2298,6164660,37.3,36.1
,"Maryland","24","2023","2023",2247,6180253,36.4,34.7
,"Maryland","24","2024 (provisional)","2024",1506,6180253,24.4,23.1
,"Maryland","24","2025 (provisional and partial)","2025",281,6180253,4.5,4.3
"Total","Maryland","24",,,15658,49014748,31.9,31.0
,"Massachusetts","25","2018","2018",2010,6902149,29.1,29.6
,"Massachusetts","25","2019","2019",1996,6892503,29.0,29.3
,"Massachusetts","25","2020","2020",2104,6893574,30.5,31.2
,"Massachusetts","25","2021","2021",2297,6984723,32.9,32.9
,"Massachusetts","25","2022","2022",2352,6981974,33.7,33.4
,"Massachusetts","25","2023","2023",2126,7001399,30.4,30.2
,"Massachusetts","25","2024 (provisional)","2024",1363,7001399,19.5,19.2
,"Massachusetts","25","2025 (provisional and partial)","2025",217,7001399,3.1,3.0
"Total","Massachusetts","25",,,14465,55659120,26.0,26.1
,"Michigan","26","2018","2018",2043,9995915,20.4,21.2
,"Michigan","26","2019","2019",1813,9986857,18.2,18.8
,"Michigan","26","2020","2020",2228,9966555,22.4,23.2
